trial,brick,channel,n,total_mass_mg,corrected_mass_mg,RMR,M,temp_C,start_hour,end_hour,vessel,date,environment,notes
trial1,box3,Ch2,20,7.6,7.238095238095238,3.10329462590181,3.4073892346051684,28.41,1,3,cylinder,10Nov2025,night,
trial1,box3,Ch3,20,6.5,7.222222222222222,6.35776960311515,6.976942788380808,28.41,1,3,cylinder,10Nov2025,night,
trial1,box3,Ch4,20,5.5,7.333333333333333,5.92307363023268,6.524769173476848,28.41,1,3,cylinder,10Nov2025,night,
trial3,box2,Ch2,20,4.8999999999999995,4.8999999999999995,4.32745927310254,4.309974231641217,26.626,1,3,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro"
trial3,box2,Ch3,20,4.7,4.7,3.68525401493075,3.632323803909945,26.626,1,3,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro"
trial3,box2,Ch4,20,4.3,5.0588235294117645,5.56626817898716,5.588164387266437,26.626,1,3,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro"
trial4,newbox,Ch2,20,4.5,5.294117647058823,0.325862516888572,0.33088377271805375,27.127,1,3,cylinder,13Nov2025,night,
trial4,newbox,Ch4,20,4.8999999999999995,4.8999999999999995,0.854903486797334,0.851449260664002,27.127,1,3,cylinder,13Nov2025,night,
trial5,box2,Ch2,20,3.3,4.4,1.17980433389806,1.1438414245771744,26.625,1,3,cylinder,14Nov2025,night,"One cylinder broke, only 3 channels available"
trial5,box2,Ch4,20,3.6,4.800000000000001,0.627119371307369,0.6213741609434539,26.625,1,3,cylinder,14Nov2025,night,"One cylinder broke, only 3 channels available"
