sp_no,group,species,common_name,signal_type,V_O2_signal,V_O2_resting,signal_factorial_scope,original_ref,secondary_ref
1,spider,Hygrolycosa rubrofasciata,Wolf spider,Drumming,4.580,0.220,20.82,"Kotaho et al., 1998","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
2,insect,Anurogryllus arboreus,Trilling short-tailed cricket,Acoustic call,3.576,0.315,11.35,"Prestwich and Walker, 1981","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
3,insect,Anurogryllus muticus,Trilling cricket,Acoustic call,9.060,1.700,5.33,"Lee and Loher, 1993","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
4,insect,Gryllotalpa australis,Trilling cricket,Acoustic call,4.883,0.420,11.63,"Kavanagh, 1987","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
5,insect,Oecanthus celerinictus,Trilling tree cricket,Acoustic call,2.931,0.437,6.71,"Prestwich and Walker, 1981","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
6,insect,Oecanthus quadripunctatus,Trilling tree cricket,Acoustic call,3.342,0.476,7.02,"Prestwich and Walker, 1981","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
7,insect,Teleogryllus commodus,Chirping cricket,Acoustic call,1.170,0.850,1.38,"Lee and Loher, 1993","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
8,insect,Teleogryllus oceanicus,Chirping cricket,Acoustic call,0.270,1.250,0.22,"Lee and Loher, 1993","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
9,insect,Gryllus lineaticeps,Chirping variable field cricket,Acoustic call,0.774,0.464,1.67,"Hoback and Wagner, 1997","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
10,insect,Euconocephalus nasutus,Trilling katydid,Acoustic call,15.790,2.610,6.05,"Stevens and Josephson, 1977","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
11,insect,Neoconocephalus robustus,Trilling katydid,Acoustic call,13.880,1.920,7.23,"Stevens and Josephson, 1977","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
12,insect,Achroia grisella,Lesser wax moth,Ultrasonic call,2.320,1.340,1.73,"Reinhold et al., 1998","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
13.1,fish,Brachyhypopomus gauderio,Feathertail electric fish (male),Electric signal,0.127,0.995,0.13,"Salazar and Stoddard, 2008","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
13.2,fish,Brachyhypopomus gauderio,Feathertail electric fish (female),Electric signal,0.016,0.432,0.04,"Salazar and Stoddard, 2008","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
14,frog,Hyla cinerea,Green treefrog,Acoustic call,0.770,0.135,5.70,"Prestwich et al., 1989","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
15,frog,Hyla gratiosa,Barking treefrog,Acoustic call,1.120,0.105,10.67,"Prestwich et al., 1989","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
16,frog,Hyla squirella,Squirrel treefrog,Acoustic call,2.110,0.140,15.07,"Prestwich et al., 1989","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
17,frog,Hyla versicolor,Grey treefrog,Acoustic call,0.960,0.080,12.00,"Taigen and Wells, 1985","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
18,frog,Hyperolus viridiflavus,Painted reed frog,Acoustic call,1.110,0.290,3.83,"Grafe et al., 1992","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
19,frog,Physalaemus pustulosus,Túngara frog,Acoustic call,0.350,0.310,1.13,"Bucher et al., 1982","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
20,bird,Gallus gallus domesticus,Domestic rooster,Crowing,0.150,1.020,0.15,"Horn et al., 1995","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
21,bird,Ficedula hypoleuca,Pied flycatcher,Song,0.620,0.550,1.13,"Ward et al., 2004","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
22,bird,Thryothorus ludovicianus,Carolina wren,Song,9.300,3.560,2.61,"Eberhardt, 1994","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
23,bird,Serinus canaria,Roller canary,Song,0.640,0.610,1.05,"Ward et al., 2003","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
24,bird,Taeniopygia guttata,Zebra finch,Song,0.222,0.162,1.37,"Franz and Goller, 2003","Stoddard & Salazar (2011) J Exp Biol 214(2):200-205 https://doi.org/10.1242/jeb.047910"
